,train_loss,train_acc,val_acc,test_acc,num_feats,num_emb,random_acc,over_acc,short_acc,total_acc
86,0.11754918843507767,1.0,1.0,1.0,5696,512,0.5696,0.5696,0.5696,0.5696
87,0.11710013449192047,1.0,1.0,1.0,5693,512,0.5693,0.5693,0.5693,0.5693
88,0.11665467172861099,1.0,1.0,1.0,5693,512,0.5692,0.5692,0.5692,0.5692
89,0.11621537804603577,1.0,1.0,1.0,5691,512,0.569,0.569,0.569,0.569
90,0.1157732754945755,1.0,1.0,1.0,5665,512,0.5664,0.5664,0.5664,0.5664
91,0.1153506338596344,1.0,1.0,1.0,5592,512,0.5592,0.5592,0.5592,0.5592
92,0.1148921549320221,1.0,1.0,1.0,5525,512,0.5525,0.5525,0.5525,0.5525
93,0.1144673079252243,1.0,1.0,1.0,5502,512,0.5502,0.5502,0.5502,0.5502
94,0.11400121450424194,1.0,1.0,1.0,5494,512,0.5494,0.5494,0.5494,0.5494
95,0.11355434358119965,1.0,1.0,1.0,5489,512,0.5489,0.5489,0.5489,0.5489
96,0.11312001198530197,1.0,1.0,1.0,5482,504,0.5482,0.5482,0.5482,0.5482
97,0.11267615109682083,1.0,1.0,1.0,5478,459,0.5478,0.5478,0.5478,0.5478
98,0.11222232133150101,1.0,1.0,1.0,5476,331,0.5476,0.5476,0.5476,0.5476
99,0.11177235841751099,1.0,1.0,1.0,5473,177,0.5473,0.5473,0.5473,0.5473
