,train_loss,train_acc,val_acc,test_acc,num_feats,random_acc,over_acc,short_acc,total_acc
72,0.061856646090745926,1.0,1.0,1.0,5716,0.5716,0.5716,0.5716,0.5716
73,0.061821822077035904,1.0,1.0,1.0,5719,0.5719,0.5719,0.5719,0.5719
74,0.061774540692567825,1.0,1.0,1.0,5725,0.5725,0.5725,0.5725,0.5725
75,0.06173594668507576,1.0,1.0,1.0,5728,0.5728,0.5728,0.5728,0.5728
76,0.06169711798429489,1.0,1.0,1.0,5732,0.5732,0.5732,0.5732,0.5732
77,0.061658523976802826,1.0,1.0,1.0,5736,0.5736,0.5736,0.5736,0.5736
78,0.06161937490105629,1.0,1.0,1.0,5739,0.5739,0.5739,0.5739,0.5739
79,0.06158047914505005,1.0,1.0,1.0,5739,0.5739,0.5739,0.5739,0.5739
80,0.061541102826595306,1.0,1.0,1.0,5739,0.5739,0.5739,0.5739,0.5739
81,0.06150168180465698,1.0,1.0,1.0,5740,0.574,0.574,0.574,0.574
82,0.061462193727493286,1.0,1.0,1.0,5741,0.5741,0.5741,0.5741,0.5741
83,0.06142258271574974,1.0,1.0,1.0,5742,0.5742,0.5742,0.5742,0.5742
84,0.061382994055747986,1.0,1.0,1.0,5746,0.5746,0.5746,0.5746,0.5746
85,0.061343029141426086,1.0,1.0,1.0,5745,0.5745,0.5745,0.5745,0.5745
86,0.06130311265587807,1.0,1.0,1.0,5745,0.5745,0.5745,0.5745,0.5745
87,0.06126311421394348,1.0,1.0,1.0,5745,0.5745,0.5745,0.5745,0.5745
88,0.06122314929962158,1.0,1.0,1.0,5742,0.5742,0.5742,0.5742,0.5742
89,0.06118287891149521,1.0,1.0,1.0,5741,0.5741,0.5741,0.5741,0.5741
90,0.061142660677433014,1.0,1.0,1.0,5720,0.572,0.572,0.572,0.572
91,0.06110239028930664,1.0,1.0,1.0,5645,0.5645,0.5645,0.5645,0.5645
92,0.06106206774711609,1.0,1.0,1.0,5579,0.5578,0.5578,0.5578,0.5578
93,0.06102170795202255,1.0,1.0,1.0,5559,0.5559,0.5559,0.5559,0.5559
94,0.06098131835460663,1.0,1.0,1.0,5554,0.5554,0.5554,0.5554,0.5554
95,0.060940854251384735,1.0,1.0,1.0,5545,0.5545,0.5545,0.5545,0.5545
96,0.060900382697582245,1.0,1.0,1.0,5538,0.5538,0.5538,0.5538,0.5538
97,0.060859888792037964,1.0,1.0,1.0,5536,0.5536,0.5536,0.5536,0.5536
98,0.06081937253475189,1.0,1.0,1.0,5533,0.5533,0.5533,0.5533,0.5533
99,0.06077883765101433,1.0,1.0,1.0,5525,0.5525,0.5525,0.5525,0.5525
