,epoch,valid_acc,# feature
0,0,27.77777777777778,38
1,1,27.77777777777778,38
2,2,27.77777777777778,38
3,3,27.77777777777778,38
4,4,27.77777777777778,38
5,5,27.77777777777778,38
6,6,27.77777777777778,38
7,7,27.77777777777778,38
8,8,27.77777777777778,38
9,9,27.77777777777778,38
10,10,27.77777777777778,38
11,11,27.77777777777778,38
12,12,27.77777777777778,38
13,13,27.77777777777778,38
14,14,27.77777777777778,38
15,15,27.77777777777778,38
16,16,27.77777777777778,38
17,17,27.77777777777778,38
18,18,27.77777777777778,38
19,19,27.77777777777778,38
20,20,27.77777777777778,38
21,21,27.77777777777778,38
22,22,27.77777777777778,38
23,23,27.77777777777778,38
24,24,27.77777777777778,38
25,25,27.77777777777778,38
26,26,36.111111111111114,38
27,27,41.666666666666664,38
28,28,30.555555555555557,38
29,29,27.77777777777778,38
30,30,63.888888888888886,38
31,31,27.77777777777778,38
32,32,50.0,38
33,33,33.333333333333336,38
34,34,66.66666666666667,38
35,35,50.0,38
36,36,69.44444444444444,38
37,37,69.44444444444444,38
38,38,69.44444444444444,38
39,39,69.44444444444444,38
40,40,69.44444444444444,38
41,41,75.0,38
42,42,69.44444444444444,38
43,43,47.22222222222222,38
44,44,80.55555555555556,38
45,45,86.11111111111111,38
46,46,83.33333333333333,38
47,47,80.55555555555556,38
48,48,69.44444444444444,38
49,49,86.11111111111111,38
50,50,80.55555555555556,38
51,51,77.77777777777777,38
52,52,63.888888888888886,38
53,53,66.66666666666667,38
54,54,72.22222222222223,38
55,55,80.55555555555556,38
56,56,80.55555555555556,38
57,57,75.0,38
58,58,77.77777777777777,38
59,59,83.33333333333333,38
60,60,75.0,38
61,61,77.77777777777777,38
62,62,77.77777777777777,38
63,63,88.88888888888889,38
64,64,77.77777777777777,38
65,65,75.0,38
66,66,88.88888888888889,38
67,67,91.66666666666667,38
68,68,86.11111111111111,38
69,69,86.11111111111111,38
70,70,75.0,38
71,71,63.888888888888886,38
72,72,91.66666666666667,38
73,73,80.55555555555556,38
74,74,77.77777777777777,38
75,75,83.33333333333333,38
76,76,77.77777777777777,38
77,77,77.77777777777777,38
78,78,77.77777777777777,38
79,79,80.55555555555556,38
80,80,86.11111111111111,38
81,81,75.0,37
82,82,86.11111111111111,37
83,83,55.55555555555556,37
84,84,88.88888888888889,37
85,85,66.66666666666667,37
86,86,88.88888888888889,37
87,87,80.55555555555556,37
88,88,80.55555555555556,37
89,89,75.0,36
90,90,77.77777777777777,36
91,91,86.11111111111111,36
92,92,80.55555555555556,34
93,93,86.11111111111111,35
94,94,83.33333333333333,35
95,95,86.11111111111111,34
96,96,94.44444444444444,34
97,97,88.88888888888889,34
98,98,86.11111111111111,34
99,99,91.66666666666667,34
100,100,94.44444444444444,33
101,101,91.66666666666667,33
102,102,83.33333333333333,33
103,103,97.22222222222223,32
104,104,97.22222222222223,32
105,105,88.88888888888889,32
106,106,91.66666666666667,32
107,107,86.11111111111111,32
108,108,97.22222222222223,32
109,109,75.0,32
110,110,77.77777777777777,32
111,111,94.44444444444444,31
112,112,77.77777777777777,31
113,113,88.88888888888889,30
114,114,83.33333333333333,28
115,115,58.333333333333336,28
116,116,61.111111111111114,27
117,117,72.22222222222223,27
118,118,94.44444444444444,28
119,119,77.77777777777777,28
120,120,75.0,28
121,121,80.55555555555556,28
122,122,91.66666666666667,29
123,123,75.0,29
124,124,75.0,27
125,125,88.88888888888889,27
126,126,94.44444444444444,27
127,127,83.33333333333333,27
128,128,86.11111111111111,26
129,129,86.11111111111111,26
130,130,94.44444444444444,25
131,131,91.66666666666667,25
132,132,86.11111111111111,25
133,133,94.44444444444444,25
134,134,80.55555555555556,25
135,135,86.11111111111111,25
136,136,86.11111111111111,25
137,137,86.11111111111111,24
138,138,91.66666666666667,23
139,139,86.11111111111111,22
140,140,86.11111111111111,22
141,141,91.66666666666667,22
142,142,91.66666666666667,22
143,143,94.44444444444444,22
144,144,94.44444444444444,22
145,145,88.88888888888889,21
146,146,91.66666666666667,20
147,147,88.88888888888889,20
148,148,88.88888888888889,20
149,149,86.11111111111111,19
150,150,94.44444444444444,19
151,151,94.44444444444444,19
152,152,97.22222222222223,19
153,153,94.44444444444444,19
154,154,94.44444444444444,19
155,155,94.44444444444444,19
156,156,83.33333333333333,19
157,157,88.88888888888889,19
158,158,94.44444444444444,19
159,159,88.88888888888889,19
160,160,83.33333333333333,20
161,161,97.22222222222223,20
162,162,94.44444444444444,20
163,163,88.88888888888889,20
164,164,91.66666666666667,20
165,165,94.44444444444444,20
166,166,88.88888888888889,20
167,167,80.55555555555556,20
168,168,83.33333333333333,20
169,169,69.44444444444444,20
170,170,83.33333333333333,20
171,171,94.44444444444444,20
172,172,94.44444444444444,20
173,173,86.11111111111111,19
174,174,86.11111111111111,19
175,175,91.66666666666667,20
176,176,94.44444444444444,20
177,177,86.11111111111111,20
178,178,91.66666666666667,20
179,179,86.11111111111111,19
180,180,91.66666666666667,19
181,181,94.44444444444444,19
182,182,94.44444444444444,19
183,183,86.11111111111111,19
184,184,94.44444444444444,19
185,185,94.44444444444444,19
186,186,97.22222222222223,19
187,187,91.66666666666667,19
188,188,80.55555555555556,19
189,189,94.44444444444444,19
190,190,91.66666666666667,19
191,191,94.44444444444444,19
192,192,94.44444444444444,19
193,193,91.66666666666667,19
194,194,91.66666666666667,18
195,195,94.44444444444444,17
196,196,97.22222222222223,17
197,197,94.44444444444444,17
198,198,86.11111111111111,17
199,199,94.44444444444444,17
200,200,94.44444444444444,17
201,201,86.11111111111111,17
202,202,86.11111111111111,16
203,203,94.44444444444444,17
204,204,94.44444444444444,17
205,205,94.44444444444444,16
206,206,94.44444444444444,16
207,207,94.44444444444444,16
208,208,94.44444444444444,16
209,209,94.44444444444444,16
210,210,91.66666666666667,16
211,211,94.44444444444444,16
212,212,94.44444444444444,16
213,213,94.44444444444444,16
214,214,97.22222222222223,16
215,215,97.22222222222223,16
216,216,97.22222222222223,16
217,217,91.66666666666667,16
218,218,91.66666666666667,16
219,219,94.44444444444444,16
220,220,91.66666666666667,16
221,221,94.44444444444444,15
222,222,94.44444444444444,15
223,223,94.44444444444444,15
224,224,94.44444444444444,14
225,225,97.22222222222223,14
226,226,94.44444444444444,14
227,227,94.44444444444444,14
228,228,94.44444444444444,14
229,229,94.44444444444444,14
230,230,94.44444444444444,14
231,231,94.44444444444444,14
232,232,94.44444444444444,14
233,233,97.22222222222223,14
234,234,100.0,14
235,235,91.66666666666667,14
236,236,94.44444444444444,14
237,237,94.44444444444444,14
238,238,94.44444444444444,14
239,239,91.66666666666667,14
240,240,94.44444444444444,14
241,241,94.44444444444444,14
242,242,94.44444444444444,14
243,243,97.22222222222223,13
244,244,97.22222222222223,13
245,245,100.0,12
246,246,94.44444444444444,12
247,247,91.66666666666667,12
248,248,94.44444444444444,12
249,249,94.44444444444444,11
250,250,94.44444444444444,11
251,251,97.22222222222223,11
252,252,100.0,11
253,253,97.22222222222223,11
254,254,94.44444444444444,11
255,255,94.44444444444444,11
256,256,94.44444444444444,11
257,257,91.66666666666667,11
258,258,88.88888888888889,11
259,259,91.66666666666667,11
260,260,94.44444444444444,10
261,261,94.44444444444444,10
262,262,94.44444444444444,10
263,263,100.0,10
264,264,97.22222222222223,10
265,265,97.22222222222223,10
266,266,94.44444444444444,10
267,267,94.44444444444444,10
268,268,94.44444444444444,10
269,269,94.44444444444444,10
270,270,94.44444444444444,10
271,271,94.44444444444444,10
272,272,94.44444444444444,10
273,273,94.44444444444444,10
274,274,94.44444444444444,10
275,275,97.22222222222223,10
276,276,94.44444444444444,10
277,277,94.44444444444444,10
278,278,94.44444444444444,10
279,279,94.44444444444444,10
280,280,94.44444444444444,10
281,281,94.44444444444444,10
282,282,94.44444444444444,10
283,283,97.22222222222223,10
284,284,94.44444444444444,10
285,285,94.44444444444444,10
286,286,94.44444444444444,9
287,287,94.44444444444444,9
288,288,94.44444444444444,9
289,289,94.44444444444444,9
290,290,94.44444444444444,9
291,291,97.22222222222223,9
292,292,97.22222222222223,9
293,293,94.44444444444444,9
294,294,97.22222222222223,9
295,295,97.22222222222223,9
296,296,94.44444444444444,9
297,297,94.44444444444444,9
298,298,94.44444444444444,9
299,299,94.44444444444444,9
300,300,94.44444444444444,9
301,301,94.44444444444444,9
302,302,94.44444444444444,9
303,303,94.44444444444444,9
304,304,94.44444444444444,9
305,305,94.44444444444444,9
306,306,94.44444444444444,9
307,307,94.44444444444444,9
308,308,94.44444444444444,9
309,309,94.44444444444444,9
310,310,94.44444444444444,9
311,311,94.44444444444444,9
312,312,97.22222222222223,9
313,313,94.44444444444444,9
314,314,94.44444444444444,9
315,315,94.44444444444444,9
316,316,94.44444444444444,9
317,317,94.44444444444444,9
318,318,97.22222222222223,9
319,319,94.44444444444444,9
320,320,97.22222222222223,9
321,321,97.22222222222223,9
322,322,94.44444444444444,9
323,323,94.44444444444444,9
324,324,94.44444444444444,9
325,325,94.44444444444444,9
326,326,94.44444444444444,9
327,327,97.22222222222223,9
328,328,94.44444444444444,9
329,329,94.44444444444444,9
330,330,100.0,9
331,331,94.44444444444444,9
332,332,94.44444444444444,9
333,333,97.22222222222223,9
334,334,94.44444444444444,9
335,335,94.44444444444444,9
336,336,94.44444444444444,9
337,337,94.44444444444444,9
338,338,94.44444444444444,9
339,339,94.44444444444444,9
340,340,94.44444444444444,9
341,341,97.22222222222223,9
342,342,97.22222222222223,9
343,343,94.44444444444444,9
344,344,94.44444444444444,9
345,345,94.44444444444444,9
346,346,94.44444444444444,9
347,347,94.44444444444444,9
348,348,94.44444444444444,9
349,349,97.22222222222223,9
350,350,94.44444444444444,9
351,351,94.44444444444444,9
352,352,94.44444444444444,9
353,353,94.44444444444444,8
354,354,94.44444444444444,8
355,355,94.44444444444444,8
356,356,94.44444444444444,8
357,357,94.44444444444444,8
358,358,97.22222222222223,8
359,359,97.22222222222223,8
360,360,94.44444444444444,8
361,361,94.44444444444444,8
362,362,94.44444444444444,8
363,363,94.44444444444444,8
364,364,94.44444444444444,8
365,365,94.44444444444444,8
366,366,94.44444444444444,8
367,367,94.44444444444444,8
368,368,94.44444444444444,8
369,369,94.44444444444444,8
370,370,94.44444444444444,8
371,371,94.44444444444444,8
372,372,94.44444444444444,8
373,373,94.44444444444444,8
374,374,94.44444444444444,8
375,375,94.44444444444444,8
376,376,94.44444444444444,8
377,377,94.44444444444444,8
378,378,94.44444444444444,8
379,379,94.44444444444444,8
380,380,94.44444444444444,8
381,381,97.22222222222223,8
382,382,94.44444444444444,8
383,383,94.44444444444444,8
384,384,94.44444444444444,8
