,STG_acc,STG_feats,GINI_acc,GINI+STG_feats,DualSTG_feats,DualSTG_acc,Saved_communication,pred_emb,SFFS_acc,Epochs,STG_communication
0,0.9681069958847737,2119,0.9722222222222222,1692,1698,0.9372427983539094,240,24,0.9979423868312757,0,240
1,0.9753086419753086,1110,0.9722222222222222,1045,1164,0.9794238683127572,239,23,0.9989711934156379,10,240
2,0.9825102880658436,697,0.9763374485596708,763,849,0.98559670781893,228,22,0.9917695473251029,20,240
3,0.9804526748971193,520,0.9794238683127572,601,678,0.9681069958847737,215,20,0.9845679012345679,30,240
4,0.9629629629629629,412,0.9650205761316872,509,544,0.970164609053498,193,16,0.9814814814814815,40,240
5,0.9670781893004116,367,0.970164609053498,437,454,0.9722222222222222,160,16,0.9722222222222222,50,240
6,0.9516460905349794,313,0.9742798353909465,375,396,0.9619341563786008,158,16,0.9650205761316872,60,240
7,0.9804526748971193,293,0.9732510288065843,339,368,0.9763374485596708,160,16,0.9434156378600823,70,240
8,0.9722222222222222,274,0.9866255144032922,316,340,0.9794238683127572,144,12,0.9619341563786008,80,240
9,0.9681069958847737,257,0.9763374485596708,293,322,0.9567901234567902,114,11,0.9495884773662552,90,240
10,0.9753086419753086,236,0.9763374485596708,275,296,0.9660493827160493,103,9,0.9351851851851852,100,240
11,0.9650205761316872,223,0.9681069958847737,257,276,0.9711934156378601,85,8,0.897119341563786,110,240
12,0.9825102880658436,215,0.9814814814814815,244,263,0.9588477366255144,75,7,0.9465020576131687,120,240
13,0.9825102880658436,212,0.9814814814814815,229,255,0.9681069958847737,70,7,0.8991769547325102,130,240
14,0.9804526748971193,198,0.9722222222222222,219,242,0.9742798353909465,70,7,0.8713991769547325,140,240
15,0.9794238683127572,198,0.9681069958847737,209,226,0.9804526748971193,70,7,0.9218106995884774,150,240
16,0.9619341563786008,197,0.9783950617283951,201,220,0.9238683127572016,66,6,0.9228395061728395,160,240
17,0.9845679012345679,188,0.9907407407407407,191,215,0.970164609053498,60,6,0.934156378600823,170,240
18,0.9711934156378601,182,0.9876543209876543,192,209,0.8981481481481481,60,6,0.9372427983539094,180,240
19,0.9825102880658436,180,0.9691358024691358,186,206,0.9742798353909465,60,6,0.9166666666666666,190,240
