,STG_acc,STG_feats,GINI_acc,GINI+STG_feats,DualSTG_feats,DualSTG_acc,Saved_communication,pred_emb,SFFS_acc,Epochs,STG_communication
0,0.988795518207283,3167,0.9929971988795518,2313,2221,0.9719887955182073,240,24,1.0,0,240
1,0.9775910364145658,1348,0.9845938375350141,1556,1540,0.9845938375350141,232,18,1.0,10,240
2,0.9873949579831933,792,0.9915966386554622,1025,1073,0.9957983193277311,174,15,0.9915966386554622,20,240
3,0.9789915966386554,589,0.9733893557422969,788,776,0.9677871148459384,150,15,0.9761904761904762,30,240
4,0.9845938375350141,497,0.9747899159663865,645,647,0.9789915966386554,146,14,0.969187675070028,40,240
5,0.9803921568627451,452,0.9747899159663865,545,557,0.9845938375350141,135,13,0.9607843137254902,50,240
6,0.9775910364145658,410,0.9733893557422969,486,498,0.9607843137254902,130,13,0.957983193277311,60,240
7,0.9761904761904762,379,0.9859943977591037,441,457,0.9537815126050421,123,11,0.9663865546218487,70,240
8,0.9761904761904762,361,0.9873949579831933,417,431,0.9761904761904762,108,10,0.9607843137254902,80,240
9,0.9761904761904762,344,0.9635854341736695,387,402,0.9663865546218487,100,10,0.9607843137254902,90,240
10,0.9733893557422969,327,0.9719887955182073,374,386,0.9551820728291317,100,10,0.9537815126050421,100,240
11,0.9775910364145658,300,0.9649859943977591,344,375,0.9775910364145658,100,10,0.9467787114845938,110,240
12,0.9789915966386554,298,0.9719887955182073,339,355,0.9733893557422969,100,10,0.9565826330532213,120,240
13,0.9705882352941176,291,0.9649859943977591,328,346,0.9733893557422969,100,10,0.9467787114845938,130,240
14,0.9621848739495799,281,0.9761904761904762,325,325,0.9495798319327731,93,8,0.9467787114845938,140,240
15,0.9677871148459384,278,0.9733893557422969,319,320,0.9635854341736695,81,9,0.9537815126050421,150,240
16,0.9873949579831933,266,0.9705882352941176,309,314,0.9747899159663865,90,9,0.9509803921568627,160,240
17,0.9831932773109243,259,0.9733893557422969,300,304,0.9775910364145658,88,8,0.9439775910364145,170,240
18,0.9803921568627451,251,0.9803921568627451,295,293,0.9845938375350141,84,9,0.9411764705882353,180,240
19,0.9761904761904762,242,0.9915966386554622,290,285,0.9845938375350141,85,8,0.9481792717086834,190,240
