,STG_acc,STG_feats,GINI_acc,GINI+STG_feats,DualSTG_feats,DualSTG_acc,Saved_communication,pred_emb,SFFS_acc,Epochs,STG_communication
0,0.9909729187562688,598,0.9949849548645938,795,857,0.9919759277833501,224,18,0.995987963891675,0,240
1,0.9849548645937813,336,0.9859578736208626,509,569,0.9789368104312939,163,13,0.9879638916750251,10,240
2,0.9869608826479438,260,0.9899699097291875,379,449,0.9809428284854563,134,13,0.970912738214644,20,240
3,0.9879638916750251,227,0.9849548645937813,304,383,0.9839518555667001,120,11,0.9568706118355065,30,240
4,0.9749247743229689,205,0.9799398194583752,257,348,0.9779338014042126,105,10,0.9598796389167502,40,240
5,0.9849548645937813,192,0.9879638916750251,228,301,0.9829488465396189,94,8,0.9729187562688064,50,240
6,0.9869608826479438,166,0.9799398194583752,203,270,0.9839518555667001,81,8,0.9498495486459378,60,240
7,0.9869608826479438,156,0.9759277833500501,187,247,0.9829488465396189,83,8,0.958876629889669,70,240
8,0.9809428284854563,145,0.9899699097291875,178,233,0.9729187562688064,80,8,0.9538615847542627,80,240
9,0.9819458375125376,143,0.9859578736208626,167,224,0.970912738214644,76,6,0.9438314944834504,90,240
10,0.9829488465396189,139,0.9879638916750251,157,214,0.9929789368104313,60,6,0.9458375125376128,100,240
11,0.9769307923771314,138,0.9839518555667001,153,203,0.9809428284854563,63,7,0.9568706118355065,110,240
12,0.9769307923771314,133,0.9769307923771314,145,195,0.9819458375125376,65,6,0.9277833500501504,120,240
13,0.9839518555667001,133,0.9909729187562688,141,185,0.9869608826479438,58,5,0.9458375125376128,130,240
14,0.9889669007021064,131,0.9899699097291875,137,184,0.9759277833500501,52,5,0.9518555667001003,140,240
15,0.970912738214644,127,0.9879638916750251,132,178,0.9909729187562688,55,6,0.9438314944834504,150,240
16,0.9829488465396189,121,0.9859578736208626,129,170,0.9819458375125376,55,5,0.958876629889669,160,240
17,0.9809428284854563,117,0.9819458375125376,128,170,0.9849548645937813,50,5,0.921765295887663,170,240
18,0.9729187562688064,113,0.9809428284854563,125,161,0.9849548645937813,50,5,0.9358074222668004,180,240
19,0.9849548645937813,113,0.9859578736208626,122,155,0.9799398194583752,50,5,0.9638916750250752,190,240
