,STG_acc,STG_feats,GINI_acc,GINI+STG_feats,DualSTG_feats,DualSTG_acc,Saved_communication,pred_emb,SFFS_acc,Epochs,STG_communication
0,0.6569444444444444,1020,0.7680555555555556,667,580,0.23472222222222222,240,24,0.1527777777777778,0,240
1,0.8069444444444445,994,0.7486111111111111,658,583,0.55,240,24,0.14583333333333334,10,240
2,0.8194444444444444,952,0.9138888888888889,645,580,0.5819444444444445,240,24,0.12916666666666668,20,240
3,0.8319444444444445,924,0.9527777777777777,636,580,0.7125,240,24,0.13194444444444445,30,240
4,0.9277777777777778,875,0.9152777777777777,612,571,0.6930555555555555,240,24,0.1625,40,240
5,0.9069444444444444,827,0.9652777777777778,595,558,0.7416666666666667,240,24,0.1597222222222222,50,240
6,0.9638888888888889,803,0.9388888888888889,582,545,0.8347222222222223,240,24,0.15,60,240
7,0.9541666666666667,759,0.9847222222222223,576,533,0.8152777777777778,240,24,0.14444444444444443,70,240
8,0.9458333333333333,720,0.9736111111111111,558,522,0.8930555555555556,240,24,0.14027777777777778,80,240
9,0.9388888888888889,687,0.9916666666666667,551,513,0.8930555555555556,240,24,0.15833333333333333,90,240
10,0.9694444444444444,657,0.9458333333333333,538,499,0.8625,239,23,0.1527777777777778,100,240
11,0.9375,635,0.9791666666666666,528,489,0.875,230,23,0.13472222222222222,110,240
12,0.9694444444444444,611,0.9777777777777777,514,471,0.9208333333333333,230,23,0.15138888888888888,120,240
13,0.9930555555555556,599,0.9958333333333333,496,469,0.8847222222222222,230,23,0.12222222222222222,130,240
14,0.9666666666666667,571,0.9944444444444445,475,452,0.8805555555555555,230,23,0.15,140,240
15,0.9652777777777778,544,0.9847222222222223,464,439,0.9208333333333333,230,23,0.14583333333333334,150,240
16,0.9888888888888889,519,0.9958333333333333,450,423,0.9013888888888889,230,23,0.1361111111111111,160,240
17,0.9222222222222223,502,0.9680555555555556,432,414,0.9375,230,23,0.14722222222222223,170,240
18,0.9777777777777777,482,0.9958333333333333,417,402,0.9541666666666667,229,22,0.1625,180,240
19,0.9763888888888889,470,0.9847222222222223,399,403,0.9444444444444444,219,22,0.16805555555555557,190,240
