,STG_acc,STG_feats,GINI_acc,GINI+STG_feats,DualSTG_feats,DualSTG_acc,Saved_communication,pred_emb,SFFS_acc,Epochs,STG_communication
0,0.2512820512820513,601,0.3525641025641026,351,322,0.23076923076923078,240,24,0.0782051282051282,0,240
1,0.42948717948717946,564,0.2833333333333333,354,323,0.28717948717948716,238,23,0.08717948717948718,10,240
2,0.45,537,0.33589743589743587,355,323,0.47692307692307695,233,24,0.0858974358974359,20,240
3,0.43333333333333335,506,0.43333333333333335,351,314,0.2512820512820513,236,23,0.08846153846153847,30,240
4,0.43974358974358974,470,0.6128205128205129,348,309,0.43974358974358974,230,23,0.07948717948717948,40,240
5,0.5166666666666667,451,0.6423076923076924,347,302,0.4282051282051282,230,23,0.08974358974358974,50,240
6,0.65,430,0.7448717948717949,340,295,0.4987179487179487,230,23,0.07564102564102564,60,240
7,0.6525641025641026,399,0.658974358974359,332,292,0.5820512820512821,230,23,0.08205128205128205,70,240
8,0.6628205128205128,383,0.6461538461538462,329,285,0.532051282051282,230,23,0.08076923076923077,80,240
9,0.5128205128205128,367,0.6948717948717948,322,275,0.4564102564102564,230,23,0.08846153846153847,90,240
10,0.6346153846153846,355,0.6205128205128205,318,267,0.5756410256410256,230,23,0.08076923076923077,100,240
11,0.5307692307692308,344,0.7435897435897436,314,266,0.4,230,23,0.08333333333333333,110,240
12,0.5871794871794872,327,0.7410256410256411,309,261,0.7051282051282052,229,22,0.08974358974358974,120,240
13,0.6987179487179487,320,0.5564102564102564,299,256,0.5397435897435897,220,22,0.08205128205128205,130,240
14,0.7102564102564103,309,0.7025641025641025,288,250,0.6461538461538462,219,21,0.08974358974358974,140,240
15,0.6551282051282051,299,0.7474358974358974,286,245,0.6576923076923077,205,20,0.08076923076923077,150,240
16,0.6692307692307692,290,0.7410256410256411,273,237,0.6935897435897436,200,20,0.08717948717948718,160,240
17,0.764102564102564,288,0.7743589743589744,260,232,0.5987179487179487,200,20,0.09102564102564102,170,240
18,0.7012820512820512,279,0.7807692307692308,252,233,0.7974358974358975,200,20,0.09871794871794871,180,240
19,0.823076923076923,268,0.7384615384615385,238,225,0.717948717948718,200,20,0.09487179487179487,190,240
