,train_loss,train_acc,val_acc,test_acc,num_feats
0,0.7829108238220215,0.4,0.6,0.6,10000
1,0.7252119183540344,0.6,0.6,0.6,10000
2,0.7219728827476501,0.6,0.6,0.6,10000
3,0.6653052568435669,0.6,0.6,0.6,10000
4,0.6386792659759521,0.6,0.74,0.72,10000
5,0.6243547797203064,0.76,0.73,0.75,10000
6,0.6006661653518677,0.75,0.71,0.71,10000
7,0.5810564160346985,0.72,0.73,0.71,10000
8,0.5545823574066162,0.72,0.81,0.8,10000
9,0.5204588174819946,0.8,0.85,0.81,10000
10,0.4864778220653534,0.83,0.85,0.86,10000
11,0.457658052444458,0.86,0.8,0.81,10000
12,0.4249456524848938,0.83,0.82,0.87,10000
13,0.3842731714248657,0.88,0.92,0.93,10000
14,0.3273666203022003,0.94,0.93,0.93,10000
15,0.2928881347179413,0.93,0.99,0.96,10000
16,0.25819939374923706,0.97,0.95,0.97,10000
17,0.21735917031764984,0.98,0.98,0.98,10000
18,0.15568748116493225,0.98,0.95,0.93,10000
19,0.17687883973121643,0.94,0.98,0.99,10000
20,0.11841858923435211,1.0,0.99,0.99,10000
21,0.09696009755134583,1.0,0.99,1.0,10000
22,0.08299558609724045,1.0,1.0,1.0,10000
23,0.07350101321935654,1.0,1.0,1.0,10000
24,0.09216196089982986,0.98,1.0,1.0,10000
25,0.07146851718425751,1.0,1.0,1.0,10000
26,0.06743494421243668,1.0,1.0,1.0,10000
27,0.07071235030889511,1.0,1.0,1.0,10000
28,0.07147134840488434,1.0,0.98,1.0,10000
29,0.07155945897102356,1.0,1.0,1.0,10000
30,0.06669490039348602,1.0,1.0,1.0,10000
31,0.06666308641433716,1.0,1.0,1.0,10000
32,0.06608482450246811,1.0,1.0,1.0,10000
33,0.06627483665943146,1.0,1.0,1.0,10000
34,0.06663861125707626,1.0,1.0,1.0,10000
35,0.06596964597702026,1.0,1.0,1.0,10000
36,0.0657624676823616,1.0,0.99,1.0,10000
37,0.06707184761762619,1.0,1.0,1.0,10000
38,0.06561394035816193,1.0,1.0,1.0,10000
39,0.06553985178470612,1.0,1.0,1.0,10000
40,0.0654660016298294,1.0,1.0,1.0,10000
41,0.06538942456245422,1.0,1.0,1.0,10000
42,0.06531266123056412,1.0,1.0,1.0,10000
43,0.06523433327674866,1.0,1.0,1.0,10000
44,0.06515495479106903,1.0,1.0,1.0,10000
45,0.06507505476474762,1.0,1.0,1.0,10000
46,0.06499426811933517,1.0,1.0,1.0,9998
47,0.06492028385400772,1.0,1.0,1.0,9991
48,0.06483084708452225,1.0,1.0,1.0,9945
49,0.06474409252405167,1.0,1.0,1.0,9879
50,0.06465975940227509,1.0,1.0,1.0,9827
51,0.0645730271935463,1.0,1.0,1.0,9798
52,0.06448649615049362,1.0,1.0,1.0,9772
53,0.06439881026744843,1.0,1.0,1.0,9743
54,0.06431090086698532,1.0,1.0,1.0,9717
55,0.06422162801027298,1.0,1.0,1.0,9688
56,0.06413151323795319,1.0,1.0,1.0,9655
57,0.06404130160808563,1.0,1.0,1.0,9629
58,0.06396244466304779,1.0,1.0,1.0,9602
59,0.06385764479637146,1.0,1.0,1.0,9582
60,0.06378249824047089,1.0,1.0,1.0,9553
61,0.0636724978685379,1.0,1.0,1.0,9526
62,0.06358002126216888,1.0,1.0,1.0,9499
63,0.06354217231273651,1.0,1.0,1.0,9473
64,0.0633937418460846,1.0,1.0,1.0,9444
65,0.06330610811710358,1.0,1.0,1.0,9422
66,0.06320352852344513,1.0,1.0,1.0,9391
