,train_loss,train_acc,val_acc,test_acc,num_feats
0,0.7673975229263306,0.4,0.6,0.6,10000
1,0.7264823913574219,0.6,0.6,0.6,10000
2,0.6928949952125549,0.6,0.6,0.6,10000
3,0.6427896022796631,0.6,0.73,0.71,10000
4,0.6135772466659546,0.74,0.74,0.75,10000
5,0.5758310556411743,0.75,0.74,0.75,10000
6,0.5428580045700073,0.76,0.8,0.83,10000
7,0.49903392791748047,0.82,0.86,0.85,9984
8,0.45891764760017395,0.85,0.86,0.84,9875
9,0.42310631275177,0.86,0.9,0.88,9610
10,0.3787916898727417,0.88,0.9,0.89,9309
11,0.31941670179367065,0.89,0.93,0.93,9041
12,0.2560769021511078,0.93,0.92,0.88,8839
13,0.24104663729667664,0.96,1.0,0.99,8684
14,0.15533208847045898,1.0,0.99,0.95,8583
15,0.15354342758655548,0.98,1.0,0.99,8488
16,0.11074329912662506,1.0,0.98,0.99,8412
17,0.1357893943786621,0.96,1.0,1.0,8351
18,0.0762728601694107,1.0,1.0,1.0,8292
19,0.07282082736492157,1.0,0.98,0.99,8223
20,0.11445695161819458,0.98,1.0,1.0,8167
21,0.07074614614248276,1.0,1.0,1.0,8137
22,0.07290580123662949,1.0,0.92,0.98,8073
23,0.08395291864871979,1.0,1.0,0.99,8031
24,0.08965612947940826,1.0,1.0,1.0,8000
25,0.06549301743507385,1.0,1.0,0.99,7972
26,0.10817503184080124,0.99,1.0,1.0,7952
27,0.06626073271036148,1.0,1.0,1.0,7925
28,0.06527036428451538,1.0,1.0,1.0,7890
29,0.0652114748954773,1.0,1.0,1.0,7861
30,0.06518536806106567,1.0,1.0,1.0,7827
31,0.06614959985017776,1.0,1.0,1.0,7797
32,0.06514906883239746,1.0,1.0,1.0,7778
33,0.066794753074646,1.0,1.0,0.99,7755
34,0.06515507400035858,1.0,1.0,0.99,7724
35,0.06540673226118088,1.0,1.0,1.0,7699
36,0.06503983587026596,1.0,0.99,1.0,7671
37,0.0656144767999649,1.0,0.97,1.0,7649
38,0.06529974937438965,1.0,1.0,0.99,7625
39,0.06482835114002228,1.0,1.0,1.0,7609
40,0.06688151508569717,1.0,1.0,1.0,7585
41,0.0647287592291832,1.0,1.0,1.0,7562
42,0.06461386382579803,1.0,1.0,1.0,7538
43,0.06456074118614197,1.0,1.0,1.0,7519
44,0.06487561762332916,1.0,1.0,1.0,7493
45,0.06442120671272278,1.0,1.0,1.0,7466
46,0.06436672061681747,1.0,1.0,1.0,7450
47,0.06430859118700027,1.0,1.0,1.0,7434
48,0.0642584040760994,1.0,1.0,1.0,7413
49,0.06419912725687027,1.0,1.0,1.0,7400
50,0.06414197385311127,1.0,1.0,1.0,7381
51,0.06408773362636566,1.0,1.0,1.0,7365
52,0.064029261469841,1.0,1.0,1.0,7352
53,0.06397130340337753,1.0,1.0,1.0,7337
54,0.06391255557537079,1.0,1.0,1.0,7321
55,0.06386047601699829,1.0,1.0,1.0,7304
56,0.06379648298025131,1.0,1.0,1.0,7284
57,0.0637362077832222,1.0,1.0,1.0,7269
58,0.06367660313844681,1.0,1.0,1.0,7251
59,0.06382164359092712,1.0,1.0,1.0,7235
60,0.06355592608451843,1.0,1.0,1.0,7220
61,0.06351235508918762,1.0,1.0,1.0,7208
62,0.06343354284763336,1.0,1.0,1.0,7193
63,0.06337171047925949,1.0,1.0,1.0,7170
64,0.06331045925617218,1.0,1.0,1.0,7151
65,0.06324741989374161,1.0,1.0,1.0,7136
66,0.06318463385105133,1.0,1.0,1.0,7119
67,0.0631215050816536,1.0,1.0,1.0,7112
68,0.06306073814630508,1.0,1.0,1.0,7099
69,0.06299936026334763,1.0,1.0,1.0,7076
70,0.0629303902387619,1.0,1.0,1.0,7053
71,0.06286600977182388,1.0,1.0,1.0,7033
72,0.062801294028759,1.0,1.0,1.0,7023
73,0.0627453550696373,1.0,1.0,1.0,7007
74,0.06267830729484558,1.0,1.0,1.0,6993
75,0.06260554492473602,1.0,1.0,1.0,6971
76,0.06253986805677414,1.0,1.0,1.0,6959
77,0.062477998435497284,1.0,1.0,1.0,6949
78,0.06240758299827576,1.0,1.0,1.0,6935
79,0.062342096120119095,1.0,1.0,1.0,6922
80,0.06227436661720276,1.0,1.0,1.0,6910
81,0.062206946313381195,1.0,1.0,1.0,6901
82,0.062169335782527924,1.0,1.0,1.0,6867
83,0.06207266077399254,1.0,1.0,1.0,6830
84,0.062005117535591125,1.0,1.0,1.0,6780
85,0.061936721205711365,1.0,1.0,1.0,6752
86,0.06188836321234703,1.0,1.0,1.0,6733
87,0.06179993972182274,1.0,1.0,1.0,6709
88,0.061742596328258514,1.0,1.0,1.0,6687
89,0.061662863940000534,1.0,1.0,1.0,6669
90,0.061593908816576004,1.0,1.0,1.0,6657
91,0.061524491757154465,1.0,1.0,1.0,6638
92,0.062216341495513916,1.0,1.0,1.0,6624
93,0.061385657638311386,1.0,1.0,1.0,6608
94,0.06131685525178909,1.0,1.0,1.0,6594
95,0.06124721094965935,1.0,1.0,1.0,6585
96,0.06117764860391617,1.0,1.0,1.0,6567
97,0.06110779568552971,1.0,1.0,1.0,6557
98,0.061037346720695496,1.0,1.0,1.0,6544
99,0.06096719205379486,1.0,1.0,1.0,6530
100,0.060897428542375565,1.0,1.0,1.0,6515
101,0.06082611531019211,1.0,1.0,1.0,6503
102,0.06075669080018997,1.0,1.0,1.0,6478
103,0.06068579480051994,1.0,1.0,1.0,6461
104,0.06061327084898949,1.0,1.0,1.0,6443
105,0.060542576014995575,1.0,1.0,1.0,6418
106,0.060471296310424805,1.0,1.0,1.0,6404
107,0.06040133535861969,1.0,1.0,1.0,6401
108,0.06032790616154671,1.0,1.0,1.0,6386
109,0.060255516320466995,1.0,1.0,1.0,6375
110,0.06018370762467384,1.0,1.0,1.0,6360
111,0.06011441349983215,1.0,1.0,1.0,6346
112,0.060041267424821854,1.0,1.0,1.0,6327
113,0.059967685490846634,1.0,1.0,1.0,6314
114,0.05989762395620346,1.0,1.0,1.0,6298
115,0.05982300639152527,1.0,1.0,1.0,6281
116,0.059751056134700775,1.0,1.0,1.0,6267
117,0.059677813202142715,1.0,1.0,1.0,6248
118,0.05960513651371002,1.0,1.0,1.0,6235
119,0.059532035142183304,1.0,1.0,1.0,6224
120,0.05945886671543121,1.0,1.0,1.0,6211
121,0.05938705801963806,1.0,1.0,1.0,6198
122,0.059312622994184494,1.0,1.0,1.0,6177
123,0.05924147740006447,1.0,1.0,1.0,6167
124,0.05917062237858772,1.0,1.0,1.0,6151
125,0.05909432843327522,1.0,1.0,1.0,6138
126,0.05901974439620972,1.0,1.0,1.0,6129
127,0.05894811823964119,1.0,1.0,1.0,6115
128,0.05887359380722046,1.0,1.0,1.0,6097
129,0.058799710124731064,1.0,1.0,1.0,6085
130,0.058726269751787186,1.0,1.0,1.0,6075
131,0.0586523674428463,1.0,1.0,1.0,6062
132,0.05857854336500168,1.0,1.0,1.0,6052
133,0.05850515142083168,1.0,1.0,1.0,6039
134,0.05843076854944229,1.0,1.0,1.0,6033
135,0.058359429240226746,1.0,1.0,1.0,6021
136,0.05828336253762245,1.0,1.0,1.0,6008
137,0.0582098513841629,1.0,1.0,1.0,5997
138,0.058137886226177216,1.0,1.0,1.0,5981
139,0.05806446820497513,1.0,1.0,1.0,5965
140,0.05798913538455963,1.0,1.0,1.0,5954
141,0.05791369825601578,1.0,1.0,1.0,5943
142,0.05784022808074951,1.0,1.0,1.0,5926
143,0.05776762589812279,1.0,1.0,1.0,5912
144,0.057694267481565475,1.0,1.0,1.0,5898
145,0.057617463171482086,1.0,1.0,1.0,5889
146,0.05754523351788521,1.0,1.0,1.0,5878
147,0.05746956169605255,1.0,1.0,1.0,5863
148,0.057400334626436234,1.0,1.0,1.0,5848
149,0.05732151120901108,1.0,1.0,1.0,5825
150,0.057248543947935104,1.0,1.0,1.0,5810
151,0.05717336758971214,1.0,1.0,1.0,5803
152,0.05715208128094673,1.0,1.0,1.0,5787
153,0.057026736438274384,1.0,1.0,1.0,5776
154,0.05695996433496475,1.0,1.0,1.0,5766
155,0.05687836557626724,1.0,1.0,1.0,5755
156,0.05680306628346443,1.0,1.0,1.0,5745
157,0.056728750467300415,1.0,1.0,1.0,5732
158,0.05665576457977295,1.0,1.0,1.0,5720
159,0.05658727511763573,1.0,1.0,1.0,5707
160,0.05650773271918297,1.0,1.0,1.0,5699
