,percentage,acc
0,0.0,0.99
1,0.1,0.958
2,0.2,0.942
3,0.30000000000000004,0.842
4,0.4,0.896
5,0.5,0.918
6,0.6,0.93
7,0.7000000000000001,0.872
8,0.8,0.924
9,0.9,0.572
10,0.0,0.99
11,0.1,0.97
12,0.2,0.986
13,0.30000000000000004,0.786
14,0.4,0.948
15,0.5,0.774
16,0.6,0.602
17,0.7000000000000001,0.97
18,0.8,0.688
19,0.9,0.58
20,0.0,0.99
21,0.1,0.958
22,0.2,0.972
23,0.30000000000000004,0.824
24,0.4,0.946
25,0.5,0.928
26,0.6,0.964
27,0.7000000000000001,0.674
28,0.8,0.968
29,0.9,0.87
