,train_loss,train_acc,test_acc,num_feats,num_emb
0,14.033811450004578,0.1103515625,0.5039471299093655,4862,768
1,13.347064316272736,0.54443359375,0.503,4862,768
2,13.336448013782501,0.51513671875,0.505,4862,768
3,13.313221275806427,0.5343000856164384,0.591996475327291,4862,768
4,13.165058732032776,0.566265785530822,0.898316717019134,4862,768
5,12.387723326683044,0.647554580479452,0.9568801611278952,4862,768
6,9.2368925511837,0.896357288099315,0.9479612286002015,4862,768
7,5.071464017033577,0.9307844606164384,0.9504859013091642,4862,768
8,3.926391988992691,0.9484829837328768,0.9879859013091641,4862,768
9,3.166987046599388,0.9733853274828768,0.9929753272910373,4862,768
10,2.7590015083551407,0.9840071168664384,0.9924788519637462,4862,768
11,2.5153675079345703,0.994140625,0.993496475327291,4862,768
12,2.657174974679947,0.99169921875,0.9934823766364551,4862,768
13,2.5623732209205627,0.9903547731164384,0.9954788519637463,4862,768
14,2.4077490121126175,0.9957258668664384,0.9964999999999999,4862,768
15,2.621292397379875,0.98876953125,0.994992950654582,4862,768
16,2.696567803621292,0.9864485231164384,0.9919612286002014,4862,768
17,2.2650516629219055,0.9990234375,0.991,4862,768
18,2.6125228852033615,0.9879133668664384,0.9969823766364552,4862,768
19,2.2603929191827774,0.99853515625,0.995,4862,768
20,2.3935653418302536,0.99560546875,0.9964753272910373,4862,768
21,2.428056299686432,0.9951171875,0.9959929506545822,4862,768
22,2.337735876441002,0.99658203125,0.9979859013091641,4862,768
23,2.2296761721372604,0.99853515625,0.9989964753272911,4862,768
24,2.288238823413849,0.9967024293664384,0.9964788519637462,4862,768
25,2.2594787031412125,0.9976789918664384,0.9974859013091641,4862,768
26,2.2846562415361404,0.99755859375,0.9975,4862,768
27,2.3207836747169495,0.99560546875,0.998,4862,768
28,2.3575633764266968,0.9951171875,0.9969859013091642,4862,768
29,2.2037602066993713,0.99755859375,0.997,4862,768
30,2.2336950451135635,0.9951171875,0.9989964753272911,4862,768
31,2.2051575779914856,0.99658203125,0.9969964753272911,4862,768
